# Time-averaged data for fix CPR
# TimeStep c_VIR[1] c_VIR[2] c_VIR[3] c_VIR[4] c_VIR[5] c_VIR[6]
359 -2635.43 -3867.38 -3965 2318.49 1760.52 1102.42
360 -2466.51 -3942.95 -4173.53 1892.9 1502.01 719.779
361 -2784.23 -3870.79 -4601.32 1359.63 1438.26 202.118
362 -3523.84 -3715.78 -5166.37 909.503 1642.54 -365.956
363 -4525.28 -3571.12 -5758.34 706.154 2099.71 -894.387
364 -5545.92 -3524.72 -6251.06 805.089 2702.05 -1310.17
365 -6308.63 -3620.2 -6543.44 1133.86 3288.56 -1577.14
366 -6614.57 -3838.35 -6622.51 1547.59 3704.6 -1712.54
367 -6446.57 -4110.49 -6590.24 1907.61 3846.38 -1781.11
368 -5975.52 -4353.98 -6602.96 2118.66 3683.88 -1855.57
369 -5465.29 -4502.55 -6761.45 2117.67 3267.12 -1964.58
370 -5146.61 -4524.52 -7049.35 1862.2 2709.9 -2065.87
371 -5138.62 -4430.18 -7360.66 1352.83 2149.86 -2075.52
372 -5444.46 -4245.64 -7573 676.524 1708.99 -1929.65
373 -5983.7 -3981.93 -7606.52 16.2331 1473.37 -1628.26
374 -6622.74 -3659.87 -7452.39 -413.405 1477.92 -1236.07
375 -7189.33 -3356.56 -7164.41 -472.508 1681.98 -848.317
376 -7492.89 -3200.6 -6827.9 -167.508 1953.48 -547.533
377 -7376.43 -3287.81 -6527.23 361.079 2105.25 -372.079
378 -6801.04 -3594.12 -6324.83 914.295 1983.16 -313.189
379 -5900.8 -3987.42 -6246.4 1315 1547.85 -338.141
380 -4937.61 -4330.59 -6269.77 1456.49 892.71 -412.94
381 -4160.95 -4554.68 -6316.16 1323.53 200.261 -511.762
382 -3685.51 -4645.4 -6276.02 994.446 -323.615 -616.81
383 -3491.7 -4597.72 -6079.56 620.475 -516.233 -721.567
384 -3526.01 -4413.46 -5763.32 372.331 -320.909 -833.526
385 -3767.8 -4136.83 -5456.91 369.374 181.801 -963.934
386 -4191.68 -3868.07 -5288.35 629.101 816.453 -1106.31
387 -4704.12 -3727.75 -5290.81 1072.15 1405.68 -1230.79
388 -5149.06 -3797.72 -5390.73 1574.44 1836.38 -1304.25
389 -5388.9 -4089.81 -5475.97 2021.08 2061.51 -1316.17
390 -5391.28 -4555.38 -5476.15 2329.86 2075.23 -1286.11
391 -5235.92 -5115.91 -5400.03 2447.82 1904.55 -1241.2
392 -5044.15 -5690.06 -5323.71 2344.35 1613.61 -1183.24
393 -4917.68 -6201.55 -5349.54 2019.5 1296.68 -1082.6
394 -4939.04 -6570.17 -5555.2 1523.87 1058.23 -905.501
